label,level,metric,value
CA,sub_category,n_gold,221.0
CA,sub_category,n_system,181.0
CA,sub_category,n_correct,138.0
CA,sub_category,precision,76.2
CA,sub_category,recall,62.4
CA,sub_category,f,68.6
CB,sub_category,n_gold,166.0
CB,sub_category,n_system,144.0
CB,sub_category,n_correct,121.0
CB,sub_category,precision,84.0
CB,sub_category,recall,72.8
CB,sub_category,f,78.0
GA,sub_category,n_gold,102.0
GA,sub_category,n_system,126.0
GA,sub_category,n_correct,61.0
GA,sub_category,precision,48.4
GA,sub_category,recall,59.8
GA,sub_category,f,53.5
GC,sub_category,n_gold,59.0
GC,sub_category,n_system,14.0
GC,sub_category,n_correct,8.0
GC,sub_category,precision,57.1
GC,sub_category,recall,13.5
GC,sub_category,f,21.9
PA,sub_category,n_gold,225.0
PA,sub_category,n_system,134.0
PA,sub_category,n_correct,112.0
PA,sub_category,precision,83.5
PA,sub_category,recall,49.7
PA,sub_category,f,62.3
PB,sub_category,n_gold,32.0
PB,sub_category,n_system,35.0
PB,sub_category,n_correct,27.0
PB,sub_category,precision,77.1
PB,sub_category,recall,84.3
PB,sub_category,f,80.5
SA,sub_category,n_gold,69.0
SA,sub_category,n_system,105.0
SA,sub_category,n_correct,40.0
SA,sub_category,precision,38.0
SA,sub_category,recall,57.9
SA,sub_category,f,45.9
Total,sub_category,n_gold,874.0
Total,sub_category,n_system,739.0
Total,sub_category,n_correct,507.0
Total,sub_category,precision,68.6
Total,sub_category,recall,58.0
Total,sub_category,f,62.8
C,super_category,n_gold,301.0
C,super_category,n_system,271.0
C,super_category,n_correct,228.0
C,super_category,precision,84.1
C,super_category,recall,75.7
C,super_category,f,79.7
G,super_category,n_gold,159.0
G,super_category,n_system,135.0
G,super_category,n_correct,106.0
G,super_category,precision,78.5
G,super_category,recall,66.6
G,super_category,f,72.1
P,super_category,n_gold,247.0
P,super_category,n_system,157.0
P,super_category,n_correct,137.0
P,super_category,precision,87.2
P,super_category,recall,55.4
P,super_category,f,67.8
S,super_category,n_gold,69.0
S,super_category,n_system,105.0
S,super_category,n_correct,40.0
S,super_category,precision,38.0
S,super_category,recall,57.9
S,super_category,f,45.9
Total,super_category,n_gold,776.0
Total,super_category,n_system,668.0
Total,super_category,n_correct,511.0
Total,super_category,precision,76.4
Total,super_category,recall,65.8
Total,super_category,f,70.7
